svg,link,icon,not_modal,dynamic_modal,title,info_link,info_photo_link,info_tagline,comments
deep-seafloor,deep-seafloor_benthic-invertebrates.html,benthic-invertebrates,F,F,Benthic invertebrates,https://olympiccoast.noaa.gov/living/marinelife/inverts/inverts.html,https://sanctuarysimon.org/dbtools/photo-library/id/6662/pycnopodia/helianthoides/sunflower-star/,"Deep seafloor habitats are usually cold, dark and subject to intense pressure, and organisms living here, like benthic invertebrates, are specially adapted to this environment.",NA
deep-seafloor,deep-seafloor_corals-sponges.html,corals-sponges,F,F,Deep sea corals and sponges,https://olympiccoast.noaa.gov/science/coralandsponge/coralandsponge.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_primnoa.html,"Deep seafloor habitats are usually cold, dark and subject to intense pressure, and it may be hard to imagine corals and sponges thriving in the deep ocean. However, at Olympic Coast, many fascinating and beautiful deep sea corals and sponges can be found in the deep seafloor, creating vital habitat for many associated fishes and invertebrates.",No data in report
deep-seafloor,deep-seafloor_crabs-shrimps.html,crabs-shrimps,F,F,Crabs and shrimp,https://olympiccoast.noaa.gov/living/marinelife/inverts/inverts.html,NA,"Protected by their hard shell, crabs and shrimp living in the deepest parts of the sanctuary patrol the seafloor in search of food. Some crustacean species, like Dungeness crab, spot shrimp and pink shrimp, support fisheries that may include sandy seafloor areas near the shore and deeper fishing grounds that may be 30 miles or more offshore.",NA
deep-seafloor,deep-seafloor_flatfishes.html,flatfishes,F,F,Flatfishes,https://www.fisheries.noaa.gov/species/west-coast-groundfish,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_flounder.html,"Deep seafloor habitats are usually cold, dark and subject to intense pressure, and organisms living here, like flatfish, are specially adapted to this environment. Flatfish are exactly what they sound like: fish with oval or diamond-shaped bodies that lie flat on the seafloor. Flatfish can do some surprising things...for example, did you know that one of their eyes often migrates to the other side of their head as they grow?! Flatfish are important predators of small seafloor invertebrates, and are prey for sharks and marine mammals; many species, like Pacific Halibut and Petrale Sole, are prized by humans as well and support important fisheries.",NA
deep-seafloor,deep-seafloor_green-sturgeon.html,green-sturgeon,F,F,Green sturgeon,https://www.fisheries.noaa.gov/species/green-sturgeon,NA,"Deep seafloor habitats are usually cold, dark and subject to intense pressure, and organisms living here are specially adapted to this environment. Green sturgeon are a long-lived, slow growing species that have persisted for 160 million years but are now listed as threatened under the Endangered Species Act. Like other anadromous species, green sturgeon have a complex life history that includes spawning and juvenile rearing in rivers followed by migration of older individuals to saltwater habitats on the continental shelf and deep seafloor, where they spend much of their life.",No data in report
deep-seafloor,deep-seafloor_groundfish-assemblage.html,groundfish-assemblage,F,F,Groundfish assemblage,https://www.fisheries.noaa.gov/species/west-coast-groundfish,NA,"Groundfish is a category of fish composed of more than 90 different species that live on or near the bottom of the ocean. On the west coast, groundfish include flatfish, rockfish, sharks, and skates, many of which are harvested year-round in both non-tribal and tribal commercial fisheries, recreational and subsistence fisheries.",NA
deep-seafloor,deep-seafloor_nis.html,nis,F,T,Non-indigenous species,https://sanctuaries.noaa.gov/science/sentinel-site-program/olympic-coast/invasive-species.html,NA,"Deep seafloor habitats are usually cold, dark and subject to intense pressure, and organisms living here are specially adapted to this environment. Some species that are not naturally found in the deep seafloor of the Olympic Coast have been observed during deep sea exploration efforts.",No data in report
deep-seafloor,deep-seafloor_rockfishes.html,rockfishes,F,F,Rockfishes,https://olympiccoast.noaa.gov/living/marinelife/fish/fish.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_chinarockfish.html,"Rockfish is a term used to describe a collection of nearly sixty species in the family Sebastidae. Rockfishes mature slowly and can live for up to 150 years. They come in various shapes, sizes, and colors with interesting names such as vermillion, canary, aurora, and rosethorn rockfish. As their name suggests, rockfish habitat preferences indicate an affinity for rocky hard bottom substrates found within sanctuary habitats ranging from shallow, nearshore rocky reefs and kelp forests to the deep seafloor. Careful fisheries management is rebuilding or has rebuilt many stocks of rockfish that experienced population declines in past decades.",NA
deep-seafloor,deep-seafloor_roundfishes.html,roundfishes,F,F,Roundfishes,https://olympiccoast.noaa.gov/living/marinelife/fish/fish.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_lingcod.html,"Roundfish is a term that refers to a group of six fish species that live on or near the seafloor: lingcod, cabezon, kelp greenling, Pacific cod, Pacific whiting (hake), and sablefish. Some species like Pacific whiting support lucrative commercial, recreational and tribal fisheries on the Olympic Coast.",NA
deep-seafloor,deep-seafloor_sharks-rays.html,sharks-rays,F,F,Sharks and rays,https://www.fisheries.noaa.gov/species/west-coast-groundfish,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_skate.html,"Deep seafloor habitats are usually cold, dark and subject to intense pressure, and organisms living here, like sharks and rays, are specially adapted to live in this environment. Sharks and rays are often slow-growing and can be slow to mature, with few offspring--factors that make their populations vulnerable to overharvest, even when they are not the target of fishing effort. Shark species found at Olympic Coast include spiny dogfish, soupfin sharks, thresher sharks and salmon sharks, among others. Longnose and sandpaper skates have been observed on the deep seafloor during recent ROV surveys at OCNMS.",NA
human-connections,human-connections_aquaculture.html,aquaculture,F,F,Aquaculture,NA,NA,"Aquaculture in the marine environment involves the breeding, rearing, and harvesting of animals and plants. While aquaculture provides about half of the seafood produced for human consumption worldwide, some aquaculture activities can be problematic for the surrounding environment. For example, Atlantic salmon raised in net pens in Puget Sound have repeatedly escaped their enclosures in recent years, and a massive failure at a net pen facility near Cypress Island (Skagit County) in August 2017 released hundreds of thousands of non-native farmed fish, some of which were caught more than 100 miles away by tribal fishers off the Olympic Coast.",NEW
human-connections,human-connections_contaminants.html,contaminants,F,F,Contaminants,NA,NA,"Water quality within the sanctuary is largely representative of natural ocean conditions, with relatively minor influence from human activities at sea and on land. By conventional measures, marine water quality within the sanctuary is relatively high, which may reflect its isolation from major urban or industrial complexes as well as the dynamic ocean currents that can dilute and distribute introduced materials. Some persistent industrial chemicals, even those no longer used in this country, such as Dichlorodiphenyltrichloroethane (commonly known as DDT), have found their way into marine food webs and have been detected through contaminant monitoring. The potential for contamination by petroleum products, pathogens, and chemicals remains a concern.",NA
human-connections,human-connections_education-engagement.html,education-engagement,F,F,Education and engagement,NA,NA,"Education and outreach represent major program investments for the sanctuary that help to engage community members of all ages and backgrounds in sanctuary activities and conservation efforts. OCNMS staff offer a variety of ways for people to deepen their understanding of the sanctuary, including through classroom and field-based lessons for students, speaker series events for general audiences, and ‘telepresence’ activities that share deep sea research and exploration efforts with audiences worldwide.",NEW
human-connections,human-connections_harvest.html,harvest,F,F,Harvest,NA,NA,"The bountiful marine resources of the Olympic Coast have supported tribal communities since time immemorial. Humans currently harvest living resources on the Olympic Coast through commercial, recreational and subsistence fishing activities that target a wide range of fish, shellfish and other living marine resources. As sovereign nations, Olympic Coast tribes have reserved treaty ﬁshing rights and co-management responsibilities for ﬁshery resources and ﬁshing activities within the sanctuary. The sanctuary does not manage fisheries.",NA
human-connections,human-connections_heritage.html,heritage,F,F,Heritage,NA,NA,"Cultural heritage is an ecosystem service recognizing the value of historical and heritage legacy and cultural practices, and reflects the rich and varied ways in which humans are connected to the environment through culture. Whether in the form of tangible resources such as artifacts, or intangible resources such as chants, songs, or canoe routes, cultural heritage resources are vitally important to communities on the Olympic Coast.",NEW
human-connections,human-connections_marine-debris.html,marine-debris,F,F,Marine debris,https://olympiccoast.noaa.gov/protect/marinedebris/marinedebris.html,NA,"Marine debris is any persistent, manufactured or processed solid material disposed of or abandoned, intentionally or unintentionally, into the marine environment. It is most visible as litter—plastic bottles and caps, rope, broken bits of plastic—that lines coastal beaches. Marine debris breaks down to become very small microplastics that can be found throughout the water column and washed ashore. Larger and heavier items, such as derelict fishing gear, typically end up on the seafloor.",NA
human-connections,human-connections_military-activity.html,military-activity,F,F,Military activity,NA,NA,"The Olympic Coast region was used by the US Navy for testing and training purposes for many years prior to the establishment of the sanctuary in 1994, and the Navy continues to conduct military operations throughout the region for national security purposes. The US Navy also supports a number of important research efforts in the region, focused primarily on mitigating impacts to marine species from military testing and training activities.",NEW
human-connections,human-connections_nonconsumptive-recreation.html,nonconsumptive-recreation,F,F,Non-consumptive recreation,NA,NA,"Non-consumptive recreation refers to recreational activities that do not result in the intentional removal of or harm to natural or cultural resources. Examples include photography, birdwatching, hiking, surfing, and kayaking.",NEW
human-connections,human-connections_ocean-sound.html,ocean-sound,F,F,Ocean sound,https://sanctuaries.noaa.gov/science/monitoring/sound/,NA,"Underwater sound is generated from ambient sources like rain, tides, crashing waves, and seismic activity, as well as from human sources such as vessel noise and man-made explosions. Recent research has documented differences in underwater ‘soundscapes’ within and among sanctuaries, thanks to collaborative monitoring efforts with a variety of partners and analytical experts.",NA
human-connections,human-connections_science.html,science,F,F,Science,NA,NA,Science is an ecosystem service related to “the capacity to acquire and contribute information and knowledge”. Science and research activities represent major investments for OCNMS staff and sanctuary partners who regularly collaborate to advance shared priorities and fill critical knowledge gaps.,NEW
human-connections,human-connections_seafloor-disturbance.html,seafloor-disturbance,F,F,Seafloor disturbance,NA,NA,"Certain human activities such as coastal construction, mooring installation, sediment sampling, some fisheries, and research activities are likely to disturb seafloor communities and potentially injure sanctuary resources and qualities. Permitting of some human activities that have the potential to do harm is one way the sanctuary tries to minimize disturbance of the seafloor. However, the sanctuary does not manage fisheries.",NA
human-connections,human-connections_sense-place.html,sense-place,F,F,Sense of place,NA,NA,"Sense of place is an ecosystem service describing mostly intangible aspects of a place that are related to its aesthetic attraction, spiritual significance or location identity. For tribal communities who have maintained a reciprocal relationship with the Olympic Coast since time immemorial, sense of place may reflect intangible values that are inextricable from place identity and thus difficult to adequately characterize.",NEW
human-connections,human-connections_spills-discharges.html,spills-discharges,F,F,Spills and discharges,NA,NA,"Although water quality within the sanctuary is generally good, the potential for contamination from oil spills and discharges remains a concern. Prior to sanctuary designation in 1994, several significant oil spills occurred on the Olympic Coast, affecting wildlife and fishery resources and prompting outcry from coastal communities. Limiting the discharge of materials to the sanctuary through permitting is one way OCNMS tries to minimize impacts to habitats and wildlife from human activities. Staff also regularly undergo training in oil spill response efforts to increase readiness.",NEW
human-connections,human-connections_vessels.html,vessels,F,F,Vessels,https://olympiccoast.noaa.gov/protect/incidentresponse/incidentresponse.html,NA,"Although water quality within the sanctuary is currently good, the potential for contamination by petroleum products, pathogens, and chemicals is a concern. Four of the five largest vessel-based oil spills in Washington state history have occurred in or moved into the area now designated as the sanctuary. Sanctuary staff collaborate on management efforts designed to minimize risks to sanctuary habitats and living resources and the communities that depend on them from vessels in several ways. For example, an Area to Be Avoided covering more than 70% of the sanctuary was designated by the International Maritime Organization to keep all ships and barges that carry oil or hazardous materials as cargo, and all ships 400 gross tons and above, solely in transit, outside of the Area To Be Avoided. High compliance with this provision enhances several other resource protection efforts at the sanctuary designed to minimize risks from vessels.",NEW can we also include a link to this? https://incidentnews.noaa.gov/
human-connections,human-connections_wildlife-disturbance.html,wildlife-health,F,F,Wildlife disturbance,https://olympiccoast.noaa.gov/protect/wildlifedisturbance/wildlifedisturbance.html,NA,"Wildlife are often subjected to noise, physical and visual disturbances caused by human activities that can have physical and behavioral impacts on wildlife above, below, and on the water surface. Sources of wildlife disturbance in the sanctuary include low-flying aircraft, motorized personal watercraft, fireworks, close approach to wildlife (either humans on foot or in a vessel), and excessive noises that originate from various sources. Permitting of certain human activities is one way the sanctuary tries to minimize disturbance of wildlife.",NA
index,deep-seafloor.html,deep_seafloor,T,F,Deep Seafloor,NA,NA,NA,NA
index,human-connections.html,human-connections,T,F,Human Connections,NA,NA,NA,NA
index,kelp-forest.html,kelp_forest,T,F,Kelp Forest,NA,NA,NA,NA
index,ocean-climate.html,climate-ocean,T,F,Ocean Climate,NA,NA,NA,NA
index,pelagic.html,pelagic,T,F,Pelagic,NA,NA,NA,NA
index,rocky-shore.html,rocky_shore,T,F,Rocky Shore,NA,NA,NA,NA
index,sandy-beach.html,sandy_beach,T,F,Beaches,NA,NA,NA,NA
index,sandy-seafloor.html,sandy_seafloor,T,F,Sandy Seafloor,NA,NA,NA,NA
kelp-forest,kelp-forest_benthic-invertebrates.html,benthic-invertebrates,F,F,Benthic invertebrates,https://olympiccoast.noaa.gov/living/marinelife/inverts/inverts.html,NA,"Kelp forests support a great diversity of species, including many invertebrates, which are animals that lack a backbone. From snails to crabs and clams to urchins, kelp forests teem with invertebrate life.",NA
kelp-forest,kelp-forest_fish-assemblage.html,fish-assemblage,F,F,Fish assemblage,https://olympiccoast.noaa.gov/living/marinelife/fish/fish.html,NA,"Kelp forests support a great diversity of species, including many interesting fish species like kelp greenling and black rockfish. Both adults and young fish may be found in kelp forests seeking both refuge from predators and access to prey.",NA
kelp-forest,kelp-forest_kelp-canopy.html,kelp-canopy,F,F,Kelp canopy,https://oceanservice.noaa.gov/facts/kelp.html,https://sanctuaries.noaa.gov/pgallery/pgolympic/habitats/habitats_1.html,"The two dominant canopy-forming kelp species along the Olympic coast are giant kelp and bull kelp. Kelp canopies provide important shelter and valuable habitat for many species of invertebrates like kelp crab, several fish species, and even sea otters. The availability and stability of kelp forests in an area can influence the diversity and abundance of associated species that rely on this important habitat.",NA
kelp-forest,kelp-forest_sea-otters.html,sea-otters,F,F,Sea otters,https://olympiccoast.noaa.gov/living/marinelife/mammals/specieslist/spp_seaotter.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_seaotter.html,"Sea otters are members of the weasel family that have adapted to life almost entirely in the water. Physically larger than river otters, sea otters also have short, paddle-like tails and webbed feet. Washington's sea otters were extirpated in the early 1900s due to commercial hunting for their rich pelts, and reintroduced to the Olympic Coast from Alaska in the early 1970s. From that initial reintroduced population of a few dozen individuals, the sea otter population has continued to multiply and expand their range. Sea otters are considered a “keystone species,” meaning that they are an indicator of the health of a habitat. If their population is healthy, it means that other parts of the ecosystem, such as the kelp forest and sandy seafloor habitats in which they live, are likely also healthy.",video: Sea otters on Olympic Coast https://www.youtube.com/watch?v=Rqp25p6nFtQ
kelp-forest,kelp-forest_sea-stars.html,sea-stars,F,F,Sea stars,https://olympiccoast.noaa.gov/living/marinelife/inverts/inverts.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_sunstar.html,"Don't let their slow movement fool you, sea stars are an important part of kelp forests. Some are fierce predators, while others are vital decomposers. Species in the genera Pisaster and Pycnopodia are considered to be keystone species because loss of these sea stars can lead to changes in community structure or function, such as expansion of mussel beds along the rocky shore and more sea urchins and less kelp in kelp forests.",NA
kelp-forest,kelp-forest_sea-urchins.html,sea-urchins,F,F,Sea urchins,https://olympiccoast.noaa.gov/living/marinelife/inverts/inverts.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_urchinred.html,"Kelp forests support a great diversity of species, including many invertebrates, which are animals that lack a backbone. Sea urchins living in kelp forests are food for predators like sea stars, fishes, and sea otters. If sea urchin numbers grow unchecked, these grazers of kelp and understory algae can cause declines in kelp forests and the species that live in or are associated with them.",NA
kelp-forest,kelp-forest_understory-algae.html,understory-algae,F,T,Understory algae,https://olympiccoast.noaa.gov/living/marinelife/seaweed/seaweed.html,NA,"Kelp forests support a great diversity of species; they provide important shelter and valuable habitat for many species. The two dominant canopy-forming kelp species along the Olympic coast are giant kelp and bull kelp. However, there are also many other species of kelp that make up the understory of the forest, growing closer to the seafloor. At Olympic Coast, the kelp understory consists of an astonishing diversity of algal species that cover the rocky reefs in a rich mosaic of greens, reds, and browns.",NA
ocean-climate,ocean-climate_dissolved-oxygen.html,dissolved-oxygen,F,F,Dissolved oxygen,NA,NA,"Just as with animals on land, most marine animal species need oxygen to survive. Whales and turtles periodically breathe air containing oxygen at the water’s surface, while most fish species obtain oxygen that is dissolved in seawater. Low oxygen levels can harm marine animals or force them to move to areas with more hospitable conditions.",NEW
ocean-climate,ocean-climate_nutrients-phytoplankton.html,nutrients-phytoplankton,F,F,Nutrients and phytoplankton,https://olympiccoast.noaa.gov/science/ecoprocesses/ecoprocesses.html,NA,"The rich abundance of marine life on the Olympic Coast is associated with high seasonal productivity driven by climate and ocean phenomena like upwelling, a wind-driven process that draws nutrients from deep ocean water onto the continental shelf during the spring and summer. The influx of nutrients fuels an increase among phytoplankton, tiny marine plants that use sunlight and nutrients to grow. Phytoplankton are consumed by other plankton, including tiny marine animals, who in turn support other species in the marine food web. Understanding nutrient dynamics and phytoplankton composition and abundance helps scientists better understand energy flows and the ecosystem as a whole.",NA
ocean-climate,ocean-climate_ocean-acidification.html,ocean-acidification,F,F,Ocean acidification,NA,NA,"The ocean has absorbed about 30% of the carbon dioxide released into the atmosphere, which is changing seawater chemistry in a process known as ocean acidification (OA). OA can make it harder for some organisms, especially those with shells like crabs and clams, to thrive or even survive. Future projections indicate that OA is of increasing concern to Olympic Coast’s marine species and human communities, and several efforts are underway to address this important ecosystem stressor.",NEW
ocean-climate,ocean-climate_oceanographic-index.html,oceanographic-index,F,F,Oceanographic Indexes,https://www.fisheries.noaa.gov/west-coast/science-data/ocean-indicators-summary-2021,NA,"Oceanographic indices are tools that draw from a variety of data resources such as from ocean models, satellite and in-situ data to characterize an aspect of a geophysical system or describe the status of environmental drivers that influence ocean ecosystems. Examples include ocean climate indices like the El Nino Southern Oscillation and Pacific Decadal Oscillation, or indices for upwelling that have been developed specifically to track this phenomenon along the US west coast. Some ocean indices are used to predict growth and survival conditions for living resources, such as salmon.",NA
ocean-climate,ocean-climate_physical-processes.html,physical_processes,F,T,Physical processes,NA,NA,"Physical processes are constantly influencing the dynamic marine environment of the Olympic Coast. For example, winds, waves and storms constantly mix and move marine waters, rivers contribute significant volumes of freshwater to the system in some seasons, and seismic activity may shift and shape underwater terrain.",NEW
ocean-climate,ocean-climate_temperature.html,temperature,F,F,Temperature,https://www.integratedecosystemassessment.noaa.gov/regions/california-current/cc-projects-blobtracker,NA,"To date, the ocean has absorbed more than 90% of the heat associated with climate change, causing the average ocean temperature to increase world-wide. In Olympic Coast National Marine Sanctuary, water temperatures are expected to increase over the next century, becoming 2°F warmer by 2050. Warmer ocean temperatures hold less oxygen and increase stratification, and can weaken upwelling and reduce ecosystem productivity, factors that all have the potential to affect the distribution of species and modify species ranges.",NA
ocean-climate,ocean-climate_water-chemistry.html,water_chemistry,F,T,Water chemistry,NA,NA,"Changing ocean conditions on the Olympic Coast are tracked using a variety of metrics that describe seawater properties and chemistry, including salinity, density, ‘spiciness’ and other metrics. Understanding the variability in surface and subsurface conditions, and how these factors contribute to stratification and other physical processes is important to understanding ecosystem condition and function.",NEW
