site,date,count,nms,sp,sp_method
Point Lobos,2019-01-01,1,MBNMS,PATMIN,IP
Point Pinos,2007-01-01,17,MBNMS,PATMIN,IP
Point Pinos,2008-01-01,17,MBNMS,PATMIN,IP
Point Pinos,2009-01-01,11,MBNMS,PATMIN,IP
Point Pinos,2011-01-01,10,MBNMS,PATMIN,IP
Point Pinos,2017-01-01,26,MBNMS,PATMIN,IP
Point Sierra Nevada,1995-01-01,0,MBNMS,PATMIN,IP
Point Sierra Nevada,1996-01-01,0,MBNMS,PATMIN,IP
Point Sierra Nevada,1997-01-01,0,MBNMS,PATMIN,IP
Point Sierra Nevada,1998-01-01,0,MBNMS,PATMIN,IP
Point Sierra Nevada,1999-01-01,0,MBNMS,PATMIN,IP
Point Sierra Nevada,2000-01-01,0,MBNMS,PATMIN,IP
Point Sierra Nevada,2001-01-01,0,MBNMS,PATMIN,IP
Point Sierra Nevada,2002-01-01,0,MBNMS,PATMIN,IP
Point Sierra Nevada,2003-01-01,0,MBNMS,PATMIN,IP
Point Sierra Nevada,2017-01-01,0,MBNMS,PATMIN,IP
Point Sierra Nevada,2018-01-01,0,MBNMS,PATMIN,IP
Scott Creek,2006-01-01,1,MBNMS,PATMIN,IP
Scott Creek,2009-01-01,1,MBNMS,PATMIN,IP
Scott Creek,2010-01-01,1,MBNMS,PATMIN,IP
Scott Creek,2017-01-01,0,MBNMS,PATMIN,IP
Scott Creek,2018-01-01,0,MBNMS,PATMIN,IP
Scott Creek,2019-01-01,0,MBNMS,PATMIN,IP
Stillwater,2006-01-01,1,MBNMS,PATMIN,IP
Stillwater,2010-01-01,1,MBNMS,PATMIN,IP
Stillwater,2011-01-01,2,MBNMS,PATMIN,IP
Stillwater,2012-01-01,1,MBNMS,PATMIN,IP
Stillwater,2014-01-01,1,MBNMS,PATMIN,IP
Stillwater,2015-01-01,2,MBNMS,PATMIN,IP
Stillwater,2017-01-01,0,MBNMS,PATMIN,IP
Stillwater,2018-01-01,4,MBNMS,PATMIN,IP
Stillwater,2019-01-01,3,MBNMS,PATMIN,IP
Terrace Point,2017-01-01,0,MBNMS,PATMIN,IP
Terrace Point,2018-01-01,0,MBNMS,PATMIN,IP
Terrace Point,2019-01-01,0,MBNMS,PATMIN,IP
Vista del Mar,2009-01-01,1,MBNMS,PATMIN,IP
MBNMS,1995-06-15,0,MBNMS,PATMIN,IP
MBNMS,1996-06-15,0,MBNMS,PATMIN,IP
MBNMS,1997-06-15,0,MBNMS,PATMIN,IP
MBNMS,1998-06-15,0,MBNMS,PATMIN,IP
MBNMS,1999-06-15,0,MBNMS,PATMIN,IP
MBNMS,2000-06-15,0,MBNMS,PATMIN,IP
MBNMS,2001-06-15,0,MBNMS,PATMIN,IP
MBNMS,2002-06-15,0,MBNMS,PATMIN,IP
MBNMS,2003-06-15,0,MBNMS,PATMIN,IP
MBNMS,2005-06-15,1,MBNMS,PATMIN,IP
MBNMS,2006-06-15,1,MBNMS,PATMIN,IP
MBNMS,2007-06-15,6.25,MBNMS,PATMIN,IP
MBNMS,2008-06-15,5.5,MBNMS,PATMIN,IP
MBNMS,2009-06-15,3.4,MBNMS,PATMIN,IP
MBNMS,2010-06-15,1.875,MBNMS,PATMIN,IP
MBNMS,2011-06-15,3,MBNMS,PATMIN,IP
MBNMS,2012-06-15,1.5,MBNMS,PATMIN,IP
MBNMS,2013-06-15,2.5,MBNMS,PATMIN,IP
MBNMS,2014-06-15,2.75,MBNMS,PATMIN,IP
MBNMS,2015-06-15,5,MBNMS,PATMIN,IP
MBNMS,2016-06-15,8.25,MBNMS,PATMIN,IP
MBNMS,2017-06-15,3.1818181818181817,MBNMS,PATMIN,IP
MBNMS,2018-06-15,2.1,MBNMS,PATMIN,IP
MBNMS,2019-06-15,2.142857142857143,MBNMS,PATMIN,IP
Point Bonita,2001-01-01,1,MBNMS,PISBRE,BT
Point Bonita,2002-01-01,7,MBNMS,PISBRE,BT
Point Bonita,2003-01-01,1,MBNMS,PISBRE,BT
Point Bonita,2004-01-01,2,MBNMS,PISBRE,BT
Point Bonita,2013-01-01,0,MBNMS,PISBRE,BT
Point Bonita,2018-01-01,0,MBNMS,PISBRE,BT
Slide Ranch,2004-01-01,2,MBNMS,PISBRE,BT
Slide Ranch,2017-01-01,0,MBNMS,PISBRE,BT
Slide Ranch,2018-01-01,0,MBNMS,PISBRE,BT
MBNMS,2001-06-15,1,MBNMS,PISBRE,BT
MBNMS,2002-06-15,7,MBNMS,PISBRE,BT
MBNMS,2003-06-15,1,MBNMS,PISBRE,BT
MBNMS,2004-06-15,2,MBNMS,PISBRE,BT
MBNMS,2013-06-15,0,MBNMS,PISBRE,BT
MBNMS,2017-06-15,0,MBNMS,PISBRE,BT
MBNMS,2018-06-15,0,MBNMS,PISBRE,BT
Andrew Molera,2017-01-01,0,MBNMS,PISBRE,IP
Andrew Molera,2018-01-01,0,MBNMS,PISBRE,IP
Andrew Molera,2019-01-01,0,MBNMS,PISBRE,IP
China Rocks,2018-01-01,0,MBNMS,PISBRE,IP
Davenport Landing,2017-01-01,0,MBNMS,PISBRE,IP
Garrapata,2009-01-01,1,MBNMS,PISBRE,IP
Garrapata,2018-01-01,0,MBNMS,PISBRE,IP
Hopkins,2017-01-01,0,MBNMS,PISBRE,IP
Hopkins,2018-01-01,0,MBNMS,PISBRE,IP
Hopkins,2019-01-01,0,MBNMS,PISBRE,IP
Mill Creek,2017-01-01,0,MBNMS,PISBRE,IP
Mill Creek,2018-01-01,0,MBNMS,PISBRE,IP
Mill Creek,2019-01-01,0,MBNMS,PISBRE,IP
Piedras Blancas,2017-01-01,0,MBNMS,PISBRE,IP
Point Lobos,2017-01-01,0,MBNMS,PISBRE,IP
Point Lobos,2018-01-01,0,MBNMS,PISBRE,IP
Point Lobos,2019-01-01,0,MBNMS,PISBRE,IP
Point Pinos,2017-01-01,0,MBNMS,PISBRE,IP
Point Sierra Nevada,2017-01-01,0,MBNMS,PISBRE,IP
Point Sierra Nevada,2018-01-01,0,MBNMS,PISBRE,IP
Scott Creek,2011-01-01,1,MBNMS,PISBRE,IP
Scott Creek,2017-01-01,0,MBNMS,PISBRE,IP
Scott Creek,2018-01-01,0,MBNMS,PISBRE,IP
Scott Creek,2019-01-01,0,MBNMS,PISBRE,IP
Stillwater,2017-01-01,0,MBNMS,PISBRE,IP
Stillwater,2018-01-01,0,MBNMS,PISBRE,IP
Stillwater,2019-01-01,0,MBNMS,PISBRE,IP
Terrace Point,2017-01-01,0,MBNMS,PISBRE,IP
Terrace Point,2018-01-01,0,MBNMS,PISBRE,IP
Terrace Point,2019-01-01,0,MBNMS,PISBRE,IP
Vista del Mar,2008-01-01,1,MBNMS,PISBRE,IP
MBNMS,2008-06-15,1,MBNMS,PISBRE,IP
MBNMS,2009-06-15,1,MBNMS,PISBRE,IP
MBNMS,2011-06-15,1,MBNMS,PISBRE,IP
MBNMS,2017-06-15,0,MBNMS,PISBRE,IP
MBNMS,2018-06-15,0,MBNMS,PISBRE,IP
MBNMS,2019-06-15,0,MBNMS,PISBRE,IP
Andrew Molera,2017-01-01,0,MBNMS,PISGIG,IP
Andrew Molera,2018-01-01,0,MBNMS,PISGIG,IP
Andrew Molera,2019-01-01,0,MBNMS,PISGIG,IP
China Rocks,2018-01-01,0,MBNMS,PISGIG,IP
Davenport Landing,2017-01-01,0,MBNMS,PISGIG,IP
Garrapata,2018-01-01,0,MBNMS,PISGIG,IP
Hopkins,2005-01-01,1,MBNMS,PISGIG,IP
Hopkins,2006-01-01,1,MBNMS,PISGIG,IP
Hopkins,2013-01-01,1,MBNMS,PISGIG,IP
Hopkins,2015-01-01,1,MBNMS,PISGIG,IP
Hopkins,2017-01-01,0,MBNMS,PISGIG,IP
Hopkins,2018-01-01,0,MBNMS,PISGIG,IP
Hopkins,2019-01-01,1,MBNMS,PISGIG,IP
Mill Creek,2017-01-01,0,MBNMS,PISGIG,IP
Mill Creek,2018-01-01,0,MBNMS,PISGIG,IP
Mill Creek,2019-01-01,0,MBNMS,PISGIG,IP
Piedras Blancas,2017-01-01,0,MBNMS,PISGIG,IP
Point Lobos,2009-01-01,1,MBNMS,PISGIG,IP
Point Lobos,2010-01-01,1,MBNMS,PISGIG,IP
Point Lobos,2015-01-01,1,MBNMS,PISGIG,IP
Point Lobos,2017-01-01,0,MBNMS,PISGIG,IP
Point Lobos,2018-01-01,0,MBNMS,PISGIG,IP
Point Lobos,2019-01-01,0,MBNMS,PISGIG,IP
Point Pinos,2007-01-01,1,MBNMS,PISGIG,IP
Point Pinos,2017-01-01,1,MBNMS,PISGIG,IP
Point Sierra Nevada,1995-01-01,0,MBNMS,PISGIG,IP
Point Sierra Nevada,1996-01-01,0,MBNMS,PISGIG,IP
Point Sierra Nevada,1997-01-01,0,MBNMS,PISGIG,IP
Point Sierra Nevada,1998-01-01,0,MBNMS,PISGIG,IP
Point Sierra Nevada,1999-01-01,0,MBNMS,PISGIG,IP
Point Sierra Nevada,2000-01-01,0,MBNMS,PISGIG,IP
Point Sierra Nevada,2001-01-01,0,MBNMS,PISGIG,IP
Point Sierra Nevada,2002-01-01,0,MBNMS,PISGIG,IP
Point Sierra Nevada,2003-01-01,0,MBNMS,PISGIG,IP
Point Sierra Nevada,2017-01-01,0,MBNMS,PISGIG,IP
Point Sierra Nevada,2018-01-01,0,MBNMS,PISGIG,IP
Scott Creek,2015-01-01,1,MBNMS,PISGIG,IP
Scott Creek,2017-01-01,0,MBNMS,PISGIG,IP
Scott Creek,2018-01-01,0,MBNMS,PISGIG,IP
Scott Creek,2019-01-01,0,MBNMS,PISGIG,IP
Stillwater,2017-01-01,0,MBNMS,PISGIG,IP
Stillwater,2018-01-01,0,MBNMS,PISGIG,IP
Stillwater,2019-01-01,0,MBNMS,PISGIG,IP
Terrace Point,2017-01-01,0,MBNMS,PISGIG,IP
Terrace Point,2018-01-01,0,MBNMS,PISGIG,IP
Terrace Point,2019-01-01,0,MBNMS,PISGIG,IP
Vista del Mar,2009-01-01,1,MBNMS,PISGIG,IP
MBNMS,1995-06-15,0,MBNMS,PISGIG,IP
MBNMS,1996-06-15,0,MBNMS,PISGIG,IP
MBNMS,1997-06-15,0,MBNMS,PISGIG,IP
MBNMS,1998-06-15,0,MBNMS,PISGIG,IP
MBNMS,1999-06-15,0,MBNMS,PISGIG,IP
MBNMS,2000-06-15,0,MBNMS,PISGIG,IP
MBNMS,2001-06-15,0,MBNMS,PISGIG,IP
MBNMS,2002-06-15,0,MBNMS,PISGIG,IP
MBNMS,2003-06-15,0,MBNMS,PISGIG,IP
MBNMS,2005-06-15,1,MBNMS,PISGIG,IP
MBNMS,2006-06-15,1,MBNMS,PISGIG,IP
MBNMS,2007-06-15,1,MBNMS,PISGIG,IP
MBNMS,2009-06-15,1,MBNMS,PISGIG,IP
MBNMS,2010-06-15,1,MBNMS,PISGIG,IP
MBNMS,2013-06-15,1,MBNMS,PISGIG,IP
MBNMS,2015-06-15,1,MBNMS,PISGIG,IP
MBNMS,2017-06-15,0.09090909090909091,MBNMS,PISGIG,IP
MBNMS,2018-06-15,0,MBNMS,PISGIG,IP
MBNMS,2019-06-15,0.14285714285714285,MBNMS,PISGIG,IP
Point Bonita,1998-01-01,11,MBNMS,PISOCH,BT
Point Bonita,2000-01-01,26,MBNMS,PISOCH,BT
Point Bonita,2001-01-01,38,MBNMS,PISOCH,BT
Point Bonita,2002-01-01,34.5,MBNMS,PISOCH,BT
Point Bonita,2003-01-01,18.5,MBNMS,PISOCH,BT
Point Bonita,2004-01-01,48,MBNMS,PISOCH,BT
Point Bonita,2005-01-01,36,MBNMS,PISOCH,BT
Point Bonita,2006-01-01,25,MBNMS,PISOCH,BT
Point Bonita,2007-01-01,29,MBNMS,PISOCH,BT
Point Bonita,2008-01-01,42,MBNMS,PISOCH,BT
Point Bonita,2009-01-01,38,MBNMS,PISOCH,BT
Point Bonita,2010-01-01,28,MBNMS,PISOCH,BT
Point Bonita,2011-01-01,11,MBNMS,PISOCH,BT
Point Bonita,2012-01-01,20,MBNMS,PISOCH,BT
Point Bonita,2013-01-01,5,MBNMS,PISOCH,BT
Point Bonita,2014-01-01,0,MBNMS,PISOCH,BT
Point Bonita,2015-01-01,0,MBNMS,PISOCH,BT
Point Bonita,2016-01-01,0,MBNMS,PISOCH,BT
Point Bonita,2017-01-01,0,MBNMS,PISOCH,BT
Point Bonita,2018-01-01,0,MBNMS,PISOCH,BT
Slide Ranch,1989-01-01,173,MBNMS,PISOCH,BT
Slide Ranch,1990-01-01,288,MBNMS,PISOCH,BT
Slide Ranch,1991-01-01,180,MBNMS,PISOCH,BT
Slide Ranch,1992-01-01,223.33333333333334,MBNMS,PISOCH,BT
Slide Ranch,1994-01-01,201,MBNMS,PISOCH,BT
Slide Ranch,2001-01-01,46.5,MBNMS,PISOCH,BT
Slide Ranch,2002-01-01,74,MBNMS,PISOCH,BT
Slide Ranch,2003-01-01,44.5,MBNMS,PISOCH,BT
Slide Ranch,2004-01-01,73,MBNMS,PISOCH,BT
Slide Ranch,2005-01-01,11,MBNMS,PISOCH,BT
Slide Ranch,2006-01-01,94,MBNMS,PISOCH,BT
Slide Ranch,2007-01-01,97,MBNMS,PISOCH,BT
Slide Ranch,2008-01-01,73,MBNMS,PISOCH,BT
Slide Ranch,2009-01-01,83,MBNMS,PISOCH,BT
Slide Ranch,2010-01-01,29,MBNMS,PISOCH,BT
Slide Ranch,2011-01-01,83,MBNMS,PISOCH,BT
Slide Ranch,2012-01-01,68,MBNMS,PISOCH,BT
Slide Ranch,2013-01-01,41,MBNMS,PISOCH,BT
Slide Ranch,2014-01-01,27,MBNMS,PISOCH,BT
Slide Ranch,2015-01-01,15,MBNMS,PISOCH,BT
Slide Ranch,2016-01-01,11,MBNMS,PISOCH,BT
Slide Ranch,2017-01-01,9,MBNMS,PISOCH,BT
Slide Ranch,2018-01-01,10,MBNMS,PISOCH,BT
MBNMS,1989-06-15,173,MBNMS,PISOCH,BT
MBNMS,1990-06-15,288,MBNMS,PISOCH,BT
MBNMS,1991-06-15,180,MBNMS,PISOCH,BT
MBNMS,1992-06-15,223.33333333333334,MBNMS,PISOCH,BT
MBNMS,1994-06-15,201,MBNMS,PISOCH,BT
MBNMS,1998-06-15,11,MBNMS,PISOCH,BT
MBNMS,2000-06-15,26,MBNMS,PISOCH,BT
MBNMS,2001-06-15,42.25,MBNMS,PISOCH,BT
MBNMS,2002-06-15,54.25,MBNMS,PISOCH,BT
MBNMS,2003-06-15,31.5,MBNMS,PISOCH,BT
MBNMS,2004-06-15,60.5,MBNMS,PISOCH,BT
MBNMS,2005-06-15,23.5,MBNMS,PISOCH,BT
MBNMS,2006-06-15,59.5,MBNMS,PISOCH,BT
MBNMS,2007-06-15,63,MBNMS,PISOCH,BT
MBNMS,2008-06-15,57.5,MBNMS,PISOCH,BT
MBNMS,2009-06-15,60.5,MBNMS,PISOCH,BT
MBNMS,2010-06-15,28.5,MBNMS,PISOCH,BT
MBNMS,2011-06-15,47,MBNMS,PISOCH,BT
MBNMS,2012-06-15,44,MBNMS,PISOCH,BT
MBNMS,2013-06-15,23,MBNMS,PISOCH,BT
MBNMS,2014-06-15,13.5,MBNMS,PISOCH,BT
MBNMS,2015-06-15,7.5,MBNMS,PISOCH,BT
MBNMS,2016-06-15,5.5,MBNMS,PISOCH,BT
MBNMS,2017-06-15,4.5,MBNMS,PISOCH,BT
MBNMS,2018-06-15,5,MBNMS,PISOCH,BT
Andrew Molera,2001-01-01,67,MBNMS,PISOCH,IP
Andrew Molera,2002-01-01,73,MBNMS,PISOCH,IP
Andrew Molera,2003-01-01,93,MBNMS,PISOCH,IP
Andrew Molera,2004-01-01,112.5,MBNMS,PISOCH,IP
Andrew Molera,2005-01-01,134,MBNMS,PISOCH,IP
Andrew Molera,2006-01-01,149,MBNMS,PISOCH,IP
Andrew Molera,2007-01-01,148,MBNMS,PISOCH,IP
Andrew Molera,2008-01-01,129.5,MBNMS,PISOCH,IP
Andrew Molera,2009-01-01,100.5,MBNMS,PISOCH,IP
Andrew Molera,2010-01-01,126.5,MBNMS,PISOCH,IP
Andrew Molera,2011-01-01,79.5,MBNMS,PISOCH,IP
Andrew Molera,2012-01-01,103,MBNMS,PISOCH,IP
Andrew Molera,2013-01-01,102,MBNMS,PISOCH,IP
Andrew Molera,2014-01-01,60,MBNMS,PISOCH,IP
Andrew Molera,2015-01-01,102,MBNMS,PISOCH,IP
Andrew Molera,2016-01-01,99,MBNMS,PISOCH,IP
Andrew Molera,2017-01-01,113,MBNMS,PISOCH,IP
Andrew Molera,2018-01-01,73,MBNMS,PISOCH,IP
Andrew Molera,2019-01-01,42,MBNMS,PISOCH,IP
China Rocks,2018-01-01,0,MBNMS,PISOCH,IP
Davenport Landing,2007-01-01,98,MBNMS,PISOCH,IP
Davenport Landing,2008-01-01,68,MBNMS,PISOCH,IP
Davenport Landing,2009-01-01,58,MBNMS,PISOCH,IP
Davenport Landing,2011-01-01,26,MBNMS,PISOCH,IP
Davenport Landing,2017-01-01,77,MBNMS,PISOCH,IP
Garrapata,2007-01-01,52,MBNMS,PISOCH,IP
Garrapata,2008-01-01,29,MBNMS,PISOCH,IP
Garrapata,2009-01-01,41,MBNMS,PISOCH,IP
Garrapata,2011-01-01,30,MBNMS,PISOCH,IP
Garrapata,2018-01-01,3,MBNMS,PISOCH,IP
Hopkins,2001-01-01,64,MBNMS,PISOCH,IP
Hopkins,2002-01-01,60.5,MBNMS,PISOCH,IP
Hopkins,2003-01-01,84,MBNMS,PISOCH,IP
Hopkins,2004-01-01,89.5,MBNMS,PISOCH,IP
Hopkins,2005-01-01,94,MBNMS,PISOCH,IP
Hopkins,2006-01-01,110.5,MBNMS,PISOCH,IP
Hopkins,2007-01-01,135,MBNMS,PISOCH,IP
Hopkins,2008-01-01,92.5,MBNMS,PISOCH,IP
Hopkins,2009-01-01,98.5,MBNMS,PISOCH,IP
Hopkins,2010-01-01,47.5,MBNMS,PISOCH,IP
Hopkins,2011-01-01,21.5,MBNMS,PISOCH,IP
Hopkins,2012-01-01,23,MBNMS,PISOCH,IP
Hopkins,2013-01-01,29.5,MBNMS,PISOCH,IP
Hopkins,2014-01-01,14,MBNMS,PISOCH,IP
Hopkins,2015-01-01,14.5,MBNMS,PISOCH,IP
Hopkins,2016-01-01,17,MBNMS,PISOCH,IP
Hopkins,2017-01-01,9,MBNMS,PISOCH,IP
Hopkins,2018-01-01,19,MBNMS,PISOCH,IP
Hopkins,2019-01-01,20,MBNMS,PISOCH,IP
Mill Creek,1999-01-01,148,MBNMS,PISOCH,IP
Mill Creek,2000-01-01,144,MBNMS,PISOCH,IP
Mill Creek,2001-01-01,165.5,MBNMS,PISOCH,IP
Mill Creek,2002-01-01,333,MBNMS,PISOCH,IP
Mill Creek,2003-01-01,211.5,MBNMS,PISOCH,IP
Mill Creek,2004-01-01,330,MBNMS,PISOCH,IP
Mill Creek,2005-01-01,432,MBNMS,PISOCH,IP
Mill Creek,2006-01-01,454.5,MBNMS,PISOCH,IP
Mill Creek,2007-01-01,373,MBNMS,PISOCH,IP
Mill Creek,2008-01-01,363,MBNMS,PISOCH,IP
Mill Creek,2009-01-01,254,MBNMS,PISOCH,IP
Mill Creek,2010-01-01,160,MBNMS,PISOCH,IP
Mill Creek,2011-01-01,130.5,MBNMS,PISOCH,IP
Mill Creek,2012-01-01,152,MBNMS,PISOCH,IP
Mill Creek,2013-01-01,294.5,MBNMS,PISOCH,IP
Mill Creek,2014-01-01,194,MBNMS,PISOCH,IP
Mill Creek,2015-01-01,242.5,MBNMS,PISOCH,IP
Mill Creek,2016-01-01,171,MBNMS,PISOCH,IP
Mill Creek,2017-01-01,282,MBNMS,PISOCH,IP
Mill Creek,2018-01-01,189,MBNMS,PISOCH,IP
Mill Creek,2019-01-01,98,MBNMS,PISOCH,IP
Natural Bridges,2008-01-01,186,MBNMS,PISOCH,IP
Natural Bridges,2009-01-01,133,MBNMS,PISOCH,IP
Natural Bridges,2011-01-01,115,MBNMS,PISOCH,IP
Piedras Blancas,2007-01-01,174,MBNMS,PISOCH,IP
Piedras Blancas,2008-01-01,153,MBNMS,PISOCH,IP
Piedras Blancas,2009-01-01,129,MBNMS,PISOCH,IP
Piedras Blancas,2011-01-01,97,MBNMS,PISOCH,IP
Piedras Blancas,2017-01-01,58,MBNMS,PISOCH,IP
Point Lobos,2004-01-01,6,MBNMS,PISOCH,IP
Point Lobos,2005-01-01,2,MBNMS,PISOCH,IP
Point Lobos,2006-01-01,4.5,MBNMS,PISOCH,IP
Point Lobos,2007-01-01,2.5,MBNMS,PISOCH,IP
Point Lobos,2008-01-01,5,MBNMS,PISOCH,IP
Point Lobos,2009-01-01,6,MBNMS,PISOCH,IP
Point Lobos,2010-01-01,9.5,MBNMS,PISOCH,IP
Point Lobos,2011-01-01,7.5,MBNMS,PISOCH,IP
Point Lobos,2012-01-01,7,MBNMS,PISOCH,IP
Point Lobos,2013-01-01,3,MBNMS,PISOCH,IP
Point Lobos,2014-01-01,0.5,MBNMS,PISOCH,IP
Point Lobos,2015-01-01,1.5,MBNMS,PISOCH,IP
Point Lobos,2016-01-01,0,MBNMS,PISOCH,IP
Point Lobos,2017-01-01,0,MBNMS,PISOCH,IP
Point Lobos,2018-01-01,2,MBNMS,PISOCH,IP
Point Lobos,2019-01-01,0,MBNMS,PISOCH,IP
Point Pinos,2007-01-01,61,MBNMS,PISOCH,IP
Point Pinos,2008-01-01,39,MBNMS,PISOCH,IP
Point Pinos,2009-01-01,42,MBNMS,PISOCH,IP
Point Pinos,2011-01-01,19,MBNMS,PISOCH,IP
Point Pinos,2017-01-01,0,MBNMS,PISOCH,IP
Point Sierra Nevada,1995-01-01,46,MBNMS,PISOCH,IP
Point Sierra Nevada,1996-01-01,36,MBNMS,PISOCH,IP
Point Sierra Nevada,1997-01-01,23,MBNMS,PISOCH,IP
Point Sierra Nevada,1998-01-01,44,MBNMS,PISOCH,IP
Point Sierra Nevada,1999-01-01,50,MBNMS,PISOCH,IP
Point Sierra Nevada,2000-01-01,79.5,MBNMS,PISOCH,IP
Point Sierra Nevada,2001-01-01,61.5,MBNMS,PISOCH,IP
Point Sierra Nevada,2002-01-01,59.5,MBNMS,PISOCH,IP
Point Sierra Nevada,2003-01-01,77,MBNMS,PISOCH,IP
Point Sierra Nevada,2004-01-01,93.5,MBNMS,PISOCH,IP
Point Sierra Nevada,2005-01-01,63.5,MBNMS,PISOCH,IP
Point Sierra Nevada,2006-01-01,48,MBNMS,PISOCH,IP
Point Sierra Nevada,2007-01-01,34.5,MBNMS,PISOCH,IP
Point Sierra Nevada,2008-01-01,31,MBNMS,PISOCH,IP
Point Sierra Nevada,2009-01-01,21,MBNMS,PISOCH,IP
Point Sierra Nevada,2010-01-01,28.5,MBNMS,PISOCH,IP
Point Sierra Nevada,2011-01-01,31,MBNMS,PISOCH,IP
Point Sierra Nevada,2012-01-01,25,MBNMS,PISOCH,IP
Point Sierra Nevada,2013-01-01,20,MBNMS,PISOCH,IP
Point Sierra Nevada,2014-01-01,2,MBNMS,PISOCH,IP
Point Sierra Nevada,2015-01-01,4.5,MBNMS,PISOCH,IP
Point Sierra Nevada,2016-01-01,19.5,MBNMS,PISOCH,IP
Point Sierra Nevada,2017-01-01,2,MBNMS,PISOCH,IP
Point Sierra Nevada,2018-01-01,5,MBNMS,PISOCH,IP
Scott Creek,2000-01-01,155,MBNMS,PISOCH,IP
Scott Creek,2001-01-01,126,MBNMS,PISOCH,IP
Scott Creek,2002-01-01,148,MBNMS,PISOCH,IP
Scott Creek,2003-01-01,138,MBNMS,PISOCH,IP
Scott Creek,2004-01-01,177.5,MBNMS,PISOCH,IP
Scott Creek,2005-01-01,184.5,MBNMS,PISOCH,IP
Scott Creek,2006-01-01,264.5,MBNMS,PISOCH,IP
Scott Creek,2007-01-01,203.5,MBNMS,PISOCH,IP
Scott Creek,2008-01-01,329.5,MBNMS,PISOCH,IP
Scott Creek,2009-01-01,330.5,MBNMS,PISOCH,IP
Scott Creek,2010-01-01,300,MBNMS,PISOCH,IP
Scott Creek,2011-01-01,230.5,MBNMS,PISOCH,IP
Scott Creek,2012-01-01,206,MBNMS,PISOCH,IP
Scott Creek,2013-01-01,96.5,MBNMS,PISOCH,IP
Scott Creek,2014-01-01,29,MBNMS,PISOCH,IP
Scott Creek,2015-01-01,44.5,MBNMS,PISOCH,IP
Scott Creek,2016-01-01,68,MBNMS,PISOCH,IP
Scott Creek,2017-01-01,186,MBNMS,PISOCH,IP
Scott Creek,2018-01-01,321,MBNMS,PISOCH,IP
Scott Creek,2019-01-01,201,MBNMS,PISOCH,IP
Stillwater,2000-01-01,102,MBNMS,PISOCH,IP
Stillwater,2001-01-01,86.5,MBNMS,PISOCH,IP
Stillwater,2002-01-01,126.5,MBNMS,PISOCH,IP
Stillwater,2003-01-01,171.5,MBNMS,PISOCH,IP
Stillwater,2004-01-01,196,MBNMS,PISOCH,IP
Stillwater,2005-01-01,168.5,MBNMS,PISOCH,IP
Stillwater,2006-01-01,206.5,MBNMS,PISOCH,IP
Stillwater,2007-01-01,152,MBNMS,PISOCH,IP
Stillwater,2008-01-01,127.5,MBNMS,PISOCH,IP
Stillwater,2009-01-01,128,MBNMS,PISOCH,IP
